Sky,AirTemp,Humidity,Wind,Water,Forecast,EnjoySport
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Same,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
Sunny,Warm,Normal,Weak,Cool,Same,Yes
Sunny,Warm,High,Weak,Cool,Change,Yes
Sunny,Cold,Normal,Strong,Warm,Same,No
Sunny,Cold,High,Strong,Warm,Change,No
Sunny,Cold,High,Weak,Cool,Same,No
Sunny,Cold,Normal,Weak,Warm,Change,No
Rainy,Cold,High,Strong,Warm,Change,No
Rainy,Cold,Normal,Weak,Cool,Same,No
Rainy,Cold,High,Weak,Warm,Same,No
Rainy,Cold,Normal,Strong,Cool,Change,No
Rainy,Cold,High,Strong,Cool,Same,No
Rainy,Cold,Normal,Weak,Warm,Change,No
Rainy,Warm,High,Strong,Warm,Change,No
Rainy,Warm,Normal,Weak,Cool,Same,No
Rainy,Warm,High,Weak,Warm,Same,No
Rainy,Warm,Normal,Strong,Cool,Change,No
Rainy,Warm,High,Strong,Cool,Same,No
Rainy,Warm,Normal,Weak,Warm,Change,No
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Change,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Weak,Cool,Change,Yes
Sunny,Warm,High,Weak,Cool,Change,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
Rainy,Cold,High,Strong,Warm,Same,No
Rainy,Cold,Normal,Strong,Warm,Same,No
Rainy,Cold,High,Weak,Warm,Change,No
Rainy,Cold,Normal,Weak,Warm,Change,No
Rainy,Cold,High,Strong,Cool,Change,No
Rainy,Cold,Normal,Strong,Cool,Change,No
Rainy,Cold,High,Weak,Cool,Same,No
Rainy,Cold,Normal,Weak,Cool,Same,No
Sunny,Cold,High,Strong,Warm,Same,No
Sunny,Cold,Normal,Strong,Warm,Same,No
Sunny,Cold,High,Weak,Warm,Change,No
Sunny,Cold,Normal,Weak,Warm,Change,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Strong,Cool,Change,No
Sunny,Cold,High,Weak,Cool,Same,No
Sunny,Cold,Normal,Weak,Cool,Same,No
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Same,Yes
Sunny,Warm,High,Strong,Cool,Same,Yes
Sunny,Warm,Normal,Weak,Cool,Same,Yes
Sunny,Warm,High,Weak,Cool,Same,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
Rainy,Warm,High,Strong,Warm,Same,No
Rainy,Warm,Normal,Strong,Warm,Same,No
Rainy,Warm,High,Weak,Warm,Change,No
Rainy,Warm,Normal,Weak,Warm,Change,No
Rainy,Warm,High,Strong,Cool,Change,No
Rainy,Warm,Normal,Strong,Cool,Change,No
Rainy,Warm,High,Weak,Cool,Same,No
Rainy,Warm,Normal,Weak,Cool,Same,No
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Change,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Weak,Cool,Change,Yes
Sunny,Warm,High,Weak,Cool,Change,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
